"lon","lat","owner","watershed","type","form"
"-81.09345453924364","32.080127510311286","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10223240387114","32.080237414946374","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09386686366179","32.08016139574972","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08783342152255","32.080113047253036","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0963218829707","32.080175936717936","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09614519615297","32.08013493113815","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08584180533907","32.08004642044063","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09337079988842","32.078536403993304","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08639887327669","32.07847251390617","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08628189565042","32.07846790723674","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08403941666013","32.07844326788102","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0856028575842","32.0784382367983","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08406990099272","32.078424803365664","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08748145793587","32.07845184619562","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09588655859035","32.07851616336237","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10089288673443","32.06748280958437","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.05131034177377","32.06704643662393","CITY-ROW","PLACENTIA","CURB INLET",""
"-81.12233350807801","32.067650458311306","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.10392229014433","32.06749257892927","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.05834845755328","32.06709925647769","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.16340508937648","32.06796664480738","CITY-ROW","HORSESHOE","CURB INLET",""
"-81.10987366055544","32.07061550258403","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.10698902383862","32.07059031424385","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.12264609718082","32.07071605343935","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09637583478664","32.0800310511378","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08789302125852","32.07995223365144","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09585777413983","32.078597320812214","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09588746635853","32.07816954576747","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10122761081125","32.078194696884914","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.10312679466435","32.078121318294535","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08805107272687","32.073795962444414","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12208265943984","32.074062367119296","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09014885954454","32.07369285643121","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08909175597476","32.07367889023509","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10708710446963","32.073800758448435","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.1042580781407","32.07376779322915","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.11746692207886","32.073854149156006","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.0942905738735","32.07364001638469","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09772661904518","32.07366338247477","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.11749697358998","32.07378447313668","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.0983171673939","32.07607733147267","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08685456053473","32.07453618932066","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09122193535599","32.07454842417158","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08671640469666","32.07449687241575","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.1171471865893","32.07474880942015","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09613662705284","32.074551387869995","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12046326211927","32.074752180878804","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.10178327866541","32.074594846933884","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09106878621694","32.07449928575222","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10120378705358","32.074577778840656","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08790033067362","32.07449725888187","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12037071030784","32.074729082802556","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08776916936296","32.074463988088446","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.11229872119398","32.07463433927674","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.11717540391454","32.07466314281037","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09595883627259","32.07448460104048","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12437166944979","32.074673238977546","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.10136721270096","32.074474182823415","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.10125037188567","32.07445808208712","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08783602345676","32.07434251471626","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.05418116968967","32.06523961708091","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.12054437202593","32.06305551997047","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.12044205688579","32.06851487844733","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08318853568898","32.06545692833376","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.05400267865424","32.065201627959866","CITY-ROW","PLACENTIA","CURB INLET",""
"-81.05892299011242","32.065082474434256","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.09955920051239","32.06541922896586","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08927346842465","32.06533460867339","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09220782013436","32.06533288910007","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.06388814818426","32.06506916652904","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.08177684499358","32.06522134192101","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08583420879873","32.06523655406449","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09241030300466","32.06528736076028","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10278041508109","32.065360466353624","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10629717963423","32.06539783941742","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.0844771091592","32.06519807570003","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12109236073354","32.07218415776344","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08875357895789","32.071908887672315","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09201267236952","32.071909770785105","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.11565855238844","32.07210037599881","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
